time_local,Mobile Lab O3,time_UTC
2024-07-30 05:00:00,34.24355555555555,2024-07-30 11:00:00
2024-07-30 06:00:00,30.077166666666667,2024-07-30 12:00:00
2024-07-30 07:00:00,31.098027777777776,2024-07-30 13:00:00
2024-07-30 08:00:00,33.27430555555556,2024-07-30 14:00:00
2024-07-30 09:00:00,34.111666666666665,2024-07-30 15:00:00
2024-07-30 10:00:00,43.05402777777778,2024-07-30 16:00:00
2024-07-30 11:00:00,48.62075,2024-07-30 17:00:00
2024-07-30 12:00:00,60.43865750065407,2024-07-30 18:00:00
2024-07-30 13:00:00,68.32945353043881,2024-07-30 19:00:00
2024-07-30 14:00:00,70.66736901986899,2024-07-30 20:00:00
2024-07-30 15:00:00,,2024-07-30 21:00:00
2024-07-30 16:00:00,,2024-07-30 22:00:00
2024-07-30 17:00:00,,2024-07-30 23:00:00
2024-07-30 18:00:00,73.9792328835186,2024-07-31 00:00:00
2024-07-30 19:00:00,73.67455937130013,2024-07-31 01:00:00
2024-07-30 20:00:00,68.63572260267279,2024-07-31 02:00:00
2024-07-30 21:00:00,60.859388888888894,2024-07-31 03:00:00
2024-07-30 22:00:00,60.82716666666667,2024-07-31 04:00:00
2024-07-30 23:00:00,53.74069444444444,2024-07-31 05:00:00
2024-07-31 00:00:00,32.13588888888889,2024-07-31 06:00:00
2024-07-31 01:00:00,26.649805555555552,2024-07-31 07:00:00
2024-07-31 02:00:00,36.17066666666666,2024-07-31 08:00:00
2024-07-31 03:00:00,43.567,2024-07-31 09:00:00
2024-07-31 04:00:00,44.56188888888889,2024-07-31 10:00:00
2024-07-31 05:00:00,30.700555555555557,2024-07-31 11:00:00
2024-07-31 06:00:00,23.81838888888889,2024-07-31 12:00:00
2024-07-31 07:00:00,20.046583333333334,2024-07-31 13:00:00
2024-07-31 08:00:00,25.101388888888888,2024-07-31 14:00:00
2024-07-31 09:00:00,35.013416666666664,2024-07-31 15:00:00
2024-07-31 10:00:00,49.891333333333336,2024-07-31 16:00:00
2024-07-31 11:00:00,61.11508333333334,2024-07-31 17:00:00
2024-07-31 12:00:00,65.78158333333333,2024-07-31 18:00:00
2024-07-31 13:00:00,74.33336111111112,2024-07-31 19:00:00
2024-07-31 14:00:00,72.1463888888889,2024-07-31 20:00:00
